drug1,drug2,text,label
Rosuvastatin,β-lactams,"Our findings demonstrated that β-lactam exposure was associated with elevated low-density lipoprotein cholesterol and total cholesterol levels. Both rosuvastatin and β-lactams induced significant alterations in gut microbiota composition, with distinct shifts in bacterial taxa abundances: rosuvastatin increased the relative abundance of Faecalibacterium and Dysosmobacter , whereas β-lactams disrupted the abundance of Faecalibacterium , Roseburia , and Dysosmobacter . Collectively, these results indicate that concomitant β-lactam use impairs rosuvastatin efficacy in patients with CHD, likely through perturbation of gut microbiota composition.",1
Rifampin,Mezigdomide (MEZI),"PBPK modeling predicted substantial interactions with strong and moderate CYP3A modulators, which informed a unique dose selection strategy, PK sampling time, and washout period. Clinical results confirmed reductions in MEZI exposure with rifampin (AUC reduced 93-95%).",1
Itraconazole,Mezigdomide (MEZI),Clinical results confirmed increases with itraconazole (~14-fold for dose normalized AUC).,1
aspirin,clopidogrel,Major DDIs included aspirin + clopidogrel (24.8%),1
aspirin,ticagrelor,Major DDIs included aspirin + ticagrelor (17.3%),1
OATP1B1 inhibitors,statins,The concurrent use of OATP1B1 inhibitors can increase systemic statin exposure and thus increase the risk of SAMS.,1
antidiabetic drugs,statins,"In 54% of the ICSRs analysed, at least one substance with OATP1B1 inhibiting properties was used together with a statin.",1
cardiovascular drugs,statins,"In 54% of the ICSRs analysed, at least one substance with OATP1B1 inhibiting properties was used together with a statin.",1
Aspirin,IJT (Ijintang),This concurrent use creates a high potential for clinically significant herb-drug interactions.,0
Aspirin,CGT (Cheongsanggyeontongtang),This concurrent use creates a high potential for clinically significant herb-drug interactions.,1
IJT (Ijintang),Aspirin,Co-administration with IJT showed a non-significant trend towards increased ASA exposure,0
CGT (Cheongsanggyeontongtang),Aspirin,Co-administration with CGT tended to alter the PK profile of aspirin and enhance its antiplatelet activity.,1
warfarin,lorazepam,"The patient was discharged with a plan for close INR monitoring. Following the initiation of lorazepam and olanzapine for a comorbid psychiatric condition, he re-presented with bleeding manifestations due to warfarin overdose.",1
warfarin,olanzapine,"The patient was discharged with a plan for close INR monitoring. Following the initiation of lorazepam and olanzapine for a comorbid psychiatric condition, he re-presented with bleeding manifestations due to warfarin overdose.",1
atorvastatin,hybutimibe,This study evaluated the pharmacokinetic (PK) interaction between atorvastatin and hybutimibe in healthy Chinese subjects.,1
Dexamethasone,Rifampicin,"The median duration of rifampicin therapy at the time of pharmacokinetic sampling was 4 days (range: 0-7). Dexamethasone pharmacokinetics was best described by a one-compartment disposition model with first-order absorption and elimination. Typical oral clearance (CL/F) was 131 L/h, reduced to 11.5 L/h with concomitant lopinavir/ritonavir.",1
Dexamethasone,Lopinavir/Ritonavir,"Typical oral clearance (CL/F) was 131 L/h, reduced to 11.5 L/h with concomitant lopinavir/ritonavir.",1
Ginger,Aspirin,"Four potential herb-drug interactions were identified, namely ginger-aspirin (n=2)",1
Ginger,Glibenclamide,ginger-glibenclamide (n=1),1
Honey,Warfarin,honey-warfarin (n=1),1
Garlic,Aspirin,garlic-aspirin (n=1),1
Vismodegib,Simvastatin,...and reduced their clearance to 42.9 % (P = 0.11) and 53.5 % (P < 0.05) relative to simvastatin alone.,1
Vismodegib,Simvastatin Acid,Co-administration significantly increased the systemic exposure of simvastatin and simvastatin acid...,1
Vismodegib,OATP1B1,...vismodegib (1) significantly inhibited OATP1B1 transport function,0
Azoles,Statins,Azoles are first-line antifungal agents known to increase the risk of statin-related myopathy due to drug interactions.,1
Voriconazole,Nonstatins,DDIs with some nonstatins further elevate this frequency.,0
Fluconazole,None specified,"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Itraconazole,None specified,"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Posaconazole,None specified,Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
Isavuconazole,None specified,Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
Fruquintinib,Dabigatran etexilate,Co-administration of dabigatran etexilate with fruquintinib resulted in a ~10% decrease in the systemic exposure of dabigatran,1
Valemetostat,Midazolam,Valemetostat inhibits cytochrome P450 3A (CYP3A) when combined with sensitive CYP3A substrates such as midazolam.,1
Valemetostat,Digoxin,Valemetostat inhibits P-glycoprotein (P-gp) when combined with sensitive P-gp substrates such as digoxin.,1
Simvastatin,Oncology agents (33 out of 138),"Of 138 oncology agents, 33 (23.9%) exhibited DDIs with statins.",1
Simvastatin,Oncology drugs,Simvastatin demonstrated the highest interaction rate (22% [30/138] of oncology drugs),1
Pravastatin,Oncology agents,4% [5/138] oncology drugs,1
Adagrasib,Statins,Contraindicated interactions (level X) were identified for adagrasib,1
Tucatinib,Statins,Contraindicated interactions (level X) were identified for tucatinib,1
Asciminib,Statins,Contraindicated interactions (level X) were identified for asciminib,1
"dicaffeoylquinic acids (ICAA, ICAB, 1,5-DCQA)",warfarin,"The three components of Erigeron breviscapus, ICAA, ICAB, and 1,5-DCQA can enhance anticoagulation of warfarin by altering its pharmacokinetic and pharmacodynamic characteristics.",1
pazopanib,pitavastatin,"Previous reports have indicated that tyrosine kinase inhibitors, such as pazopanib, can inactivate OATP1B1, leading to an increase in the plasma concentration of statins.",1
Warfarin,Linezolid,"A fatal drug interaction of linezolid and warfarin was reported in this case, highlighting the close monitoring of international normalized ratio (INR) when co-administering these drugs.",1
Gabapentinoids,Statins,"particularly when co-administered with statins (as observed in 7 cases where symptom onset occurred following combination therapy), drug-drug interactions may lead to accumulation of medicinal products, thereby significantly increasing the risk of rhabdomyolysis.",1
β-lactams,rosuvastatin,concomitant β-lactam use impairs rosuvastatin efficacy in patients with CHD,1
rosuvastatin,β-lactams,combined use causes toxicity or adverse effects (elevated low-density lipoprotein cholesterol and total cholesterol levels),1
glasmacinal,verapamil,the effect of verapamil (moderate CYP3A4 inhibitor and P-gp inhibitor) on the PK of glasmacinal,1
glasmacinal,midazolam,the effect of glasmacinal on the PK of midazolam (CYP3A4 substrate),1
glasmacinal,digoxin,the effect of glasmacinal on the PK of digoxin (P-gp substrate),1
Nirmatrelvir,Ritonavir,"nirmatrelvir boosted with ritonavir is a key antiviral against COVID-19, yet ritonavir's potent CYP3A4 inhibition exposes patients to numerous drug-drug interactions. Nirmatrelvir/ritonavir was ultimately contraindicated in 26 patients.",1
Statins,Nirmatrelvir/Ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: statins (17.7%, 147/831)...",1
Immunosuppressants,Nirmatrelvir/Ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: immunosuppressants (12.0%, 100/831)...",1
Direct Oral Anticoagulants,Nirmatrelvir/Ritonavir,"Among the 831 interacting medication lines, the main drug classes involved: direct oral anticoagulants (10.5%, 87/831)...",1
Nirmatrelvir/Ritonavir,Transplant-related immunosuppressants,with the drug mix evolving over time from transplant-related immunosuppressants in 2022 to statin agents in 2023-2024.,1
clopidogrel,pentamidine,"concomitant use of clopidogrel, an organic cation transporter 1 (OCT1) inhibitor that may affect pentamidine disposition",1
Dicloxacillin,Rosuvastatin,"Dicloxacillin and flucloxacillin inhibited rosuvastatin transport by OATP1B1, OATP1B3, and OATP2B1",1
Flucloxacillin,Rosuvastatin,"Dicloxacillin and flucloxacillin inhibited rosuvastatin transport by OATP1B1, OATP1B3, and OATP2B1",1
Dicloxacillin,BCRP (Breast Cancer Resistance Protein),inhibition of breast cancer resistance protein (BCRP),1
Flucloxacillin,P-gp (P-glycoprotein),inhibition of P-glycoprotein (P-gp),1
Asciminib,Atorvastatin,Asciminib increased the adjusted geometric mean (G) of atorvastatin AUC by 2.3-fold and Cmax by 1.7-fold.,1
dexamethasone,rifampicin,"there was high dexamethasone clearance, likely related to a drug-drug interaction with rifampicin",1
dexamethasone,lopinavir/ritonavir,"Typical oral clearance (CL/F) was 131 L/h, reduced to 11.5 L/h with concomitant lopinavir/ritonavir",1
cannabis,warfarin,"The risk of bleeding was 1.19, 95%CI (0.71-1.98), compared to 1646 controls.",1
cannabis,DNTI,"The risk of drug-related intoxication was 2.61, 95%CI (1.42-4.79) amongst 3926 patients exposed to cannabis and DNTI compared to 12 223 controls",0
cannabis,levothyroxine,"Patients exposed to cannabis and levothyroxine (n = 2499) had a significantly higher risk of heart failure but not thyrotoxicosis, acute coronary syndrome or stroke.",1
vismodegib,simvastatin,...and enhanced tissue (brain/cartilage) exposure of simvastatin and simvastatin acid was also observed.,1
vismodegib,OATP1B1,...vismodegib (1) significantly inhibited OATP1B1 transport function...,0
Fluconazole,None specified (nonstatin),"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Itraconazole,None specified (nonstatin),"Voriconazole, fluconazole, and itraconazole were associated with myopathy in narrow and broad SMQ searches.",1
Posaconazole,None specified (nonstatin),Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
Isavuconazole,None specified (nonstatin),Posaconazole and isavuconazole were associated with myopathy in the broad SMQ search.,1
Simvastatin,Oncology agents,"Contraindicated interactions (level X) were identified for adagrasib, tucatinib, and asciminib",1
Adagrasib,Simvastatin,"Contraindicated interactions (level X) were identified for adagrasib, tucatinib, and asciminib",1
Tucatinib,Simvastatin,"Contraindicated interactions (level X) were identified for adagrasib, tucatinib, and asciminib",1
Asciminib,Simvastatin,"Contraindicated interactions (level X) were identified for adagrasib, tucatinib, and asciminib",1
"antithrombotics (e.g., warfarin)",ginkgo,"high prevalence of concurrent use (23-82.5%), significantly increasing the likelihood of adverse interactions, particularly with antithrombotics (e.g., warfarin and ginkgo)",1
"antithrombotics (e.g., warfarin)","absorption-disrupting minerals (e.g., calcium)","high prevalence of concurrent use (23-82.5%), significantly increasing the likelihood of adverse interactions, particularly with antithrombotics (e.g., warfarin and ginkgo) and absorption-disrupting minerals (e.g., calcium and levothyroxine)",1
"antithrombotics (e.g., warfarin)",levothyroxine,"high prevalence of concurrent use (23-82.5%), significantly increasing the likelihood of adverse interactions, particularly with antithrombotics (e.g., warfarin and ginkgo) and absorption-disrupting minerals (e.g., calcium and levothyroxine)",1
Tyrosine kinase inhibitors,Cardiovascular drugs,"The cardiovascular drug class encompasses calcium channel blockers, antiarrhythmic medicines, and statins, which were observed to exhibit synergistic interactions.",1
Tyrosine kinase inhibitors,hERG proteins,"The binding energies of tyrosine kinase inhibitors with hERG and PXR were high, indicating significant interactions.",1
Tyrosine kinase inhibitors,PXR proteins,"The binding energies of tyrosine kinase inhibitors with hERG and PXR were high, indicating significant interactions.",1
Rifamycin (RIF),"DPP-4 inhibitors (DPP4i): saxagliptin, gemigliptin, evogliptin",RIF significantly reduced the plasma exposure of DPP4i...,1
Rifamycin (RIF),Canagliflozin,RIF significantly reduced the plasma exposure of canagliflozin,1
Linezolid,Dapagliflozin,co-administration may lead to severe pancytopenia,1
CTX (cyclophosphamide),ginsenosides Rb1,Co-administration with CTX further increased the absorption of ginsenosides,1
CTX (cyclophosphamide),"licorice-derived compounds (liquiritin, isoliquiritigenin, formononetin, and glycyrrhetinic acid)",Co-administration with CTX accelerated the clearance of licorice-derived compounds,1
EO-LS,ketoconazole,The combination of EO-LS with ketoconazole demonstrated pharmacological synergism,1
EO-LS,nystatin,its combination with nystatin resulted in an antagonistic effect,1
sotorasib,rivaroxaban,"When used in combination with rivaroxaban, these interactions may elevate a patient's risk of thromboembolic events or bleeding.",1
moxifloxacin,rifampicin,"Without rifampicin, target attainment was achieved in most CNS compartments, except brain extracellular fluid, at 800 mg once daily, while even doses up to 1000 mg did not reach target levels in most CNS compartments with rifampicin co-administration.",1
AZD4320,asparaginase,Drug-drug interaction analysis using the MuSyC algorithm showed that AZD4320 synergized by potency-rather than maximal efficacy-with asparaginase and dasatinib...,1
AZD4320,dasatinib,Drug-drug interaction analysis using the MuSyC algorithm showed that AZD4320 synergized by potency-rather than maximal efficacy-with asparaginase and dasatinib...,1
asparaginase,AZD4320,"...mechanistically, asparaginase-induced asparagine depletion promoted mitochondrial dysfunction, potentiating AZD4320-mediated cytotoxicity.",1
Shenqi Oral Liquid (SQ),atorvastatin (ATV),...dose adjustment of ATV may be necessary during combination therapy...,1
Anwuligan (ANL),CYP2C19,Enzyme kinetics revealed that ANL is a mechanism-based inhibitor of CYP2C19,0
Anwuligan (ANL),Amitriptyline,evaluated its pharmacokinetic interaction with amitriptyline,1
Ribociclib,Triazolam,"Ribociclib inhibited the metabolism of triazolam, a CYP3A probe, in vivo.",1
CDK4/6 inhibitors,Simvastatin,"Based on two cases of severe rhabdomyolysis in patients taking a CDK4/6 inhibitor and simvastatin, a CYP3A and OATP1B substrate...",1
Ribociclib,CDCA-24G or paclitaxel,...ribociclib did not influence the pharmacokinetics or pharmacodynamics of the OATP1B substrates CDCA-24G or paclitaxel.,1
carfilzomib,carboplatin,Drug-interaction analysis showed reproducible synergy between carfilzomib and carboplatin in HDC and LuBi,1
carfilzomib,vinorelbine,combinations with vinorelbine were mainly additive or antagonistic effects,1
Toluidine Blue O (TBO),Naringenin (NAR),"NAR enhanced TBO-aPDT killing of S. mutans biofilms, enabling low-concentration TBO-aPDT to match high-concentration efficacy TBO.",1
Toluidine Blue O (TBO),Naringenin (NAR) + Toluidine Blue O (TBO),NAR plus TBO (6.25 µg/mL)-aPDT resulted in lower viable counts than TBO (6.25 µg/mL)-aPDT,1
Rifampicin,Linezolid,Simulations demonstrated that 1200 mg once-daily dosing failed to maintain therapeutic plasma and CSF linezolid concentrations when co-administered with high-dose rifampicin.,1
Linezolid,Rifampicin,These findings underscore the importance of optimizing linezolid dosing when used with rifampicin in TBM and support evaluation in larger studies to guide treatment strategies.,1
clobazam (CLB),cenobamate (CNB),These findings support a potential pharmacokinetic-pharmacodynamic interaction between CNB and CLB,1
busulfan,phenytoin,"Interactions with medications known to affect CYP3A4, including phenytoin and metronidazole, have been described in multiple instances.",1
busulfan,metronidazole,"Interactions with medications known to affect CYP3A4, including phenytoin and metronidazole, have been described in multiple instances.",1
busulfan,rifampin,Busulfan therapeutic drug monitoring revealed accelerated busulfan clearance determined to be due to rifampin's effect on busulfan metabolism.,1
ritonavir,nifedipine,"assuming a proportional relationship between the area under the concentration-time curve (AUC) and trough concentration, ritonavir increased the AUC of nifedipine by approximately 14-fold",1
telmisartan,nifedipine,"the patient's plasma trough concentrations of nifedipine increased approximately four-fold and seven-fold at 24 and 96 h after initiation, respectively",1
melatonin,"concomitant medications (e.g., acetaminophen, metamizole, omeprazole, ibuprofen, acetylsalicylic acid, nabiximol and tizanidine)","All affected patients were women taking polymedications metabolized through shared hepatic pathways with melatonin, suggesting a possible interaction leading to hepatic overload.",1
melatonin,concomitant medications (sharing liver metabolization pathways),"This is attributed to a probable pharmacokinetic drug-drug interaction with concomitant medications sharing liver metabolization pathways with melatonin, leading to CYP450 metabolic pathways saturation.",1
Rifampicin,Tenofovir alafenamide fumarate (TAF),ART containing standard-dose TAF resulted in higher TFV-DP concentrations than TDF-based ART when combined with rifampicin.,1
Rifampicin,Tenofovir disoproxil fumarate (TDF),This interaction has not been assessed in people with HIV-associated tuberculosis.,1
Denosumab,Calcimimetics,The ROR [95%CI] values for co-exposures of denosumab with calcimimetics (850.5 [397.6-1819.6]) were higher than the sum of the RORs for each drug taken individually.,0
Denosumab,Loop diuretics,The ROR [95%CI] values for co-exposures of denosumab with loop diuretics (251.6 [204.5-309.4]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Proton pump inhibitors,The ROR [95%CI] values for co-exposures of denosumab with proton pump inhibitors (164.5 [142.2-190.3]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Calcitonin,The ROR [95%CI] values for co-exposures of denosumab with calcitonin (462.5 [171.5-1247.1]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,H2 receptor antagonists,The ROR [95%CI] values for co-exposures of denosumab with H2 receptor antagonists (157.2 [114.6-215.7]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Aminoglycosides,The ROR [95%CI] values for co-exposures of denosumab with aminoglycosides (134.7 [41.5-437.4]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Cisplatin,The ROR [95%CI] values for co-exposures of denosumab with cisplatin (464.1 [256.8-839.0]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Sodium bicarbonate,The ROR [95%CI] values for co-exposures of denosumab with sodium bicarbonate (510.4 [296-879.9]) were higher than the sum of the RORs for each drug taken individually.,1
Denosumab,Calcium channel blockers,The ROR [95%CI] values for co-exposures of denosumab with calcium channel blockers (175.3 [143.7-213.7]) were higher than the sum of the RORs for each drug taken individually.,1
oxycodone,cannabidiol (CBD),This interaction may have implications for chronic pain management and the simultaneous use of oxycodone and CBD,1
Rifampin,Essential medications with potential rifampin DDI,Individuals talking medications with potential DDI had a higher percentage of two or more unscheduled visits (12%) compared to those not taking them (5%).,1
atorvastatin,methylprednisolone,"The temporal correlation between the drug combination and symptom onset, coupled with rapid clinical and biochemical improvement after atorvastatin discontinuation, supported a diagnosis of rhabdomyolysis due to a potential drug-drug interaction between atorvastatin and methylprednisolone...",1
loratadine,neratinib,"Furthermore, the differential inhibitory effects of loratadine toward CYP3A4.1 and CYP3A4.34 underscore the role of CYP3A4 genetic polymorphisms in modulating the inhibitory potency of loratadine toward neratinib.",1
nirmatrelvir/ritonavir,antiepileptic drugs,Interactions with antiepileptic drugs are bidirectional.,1
nirmatrelvir/ritonavir,CYP3A4 inducers (antiepileptic drugs),Moderate or strong CYP3A4 inducers among antiepileptic drugs should be dose-adjusted in patients taking nirmatrelvir/ritonavir.,1
Verapamil,Glasmacinal,the effect of verapamil (moderate CYP3A4 inhibitor and P-gp inhibitor) on the PK of glasmacinal,1
Glasmacinal,Midazolam,glasmacinal may be a victim of selected drugs that impact CYP3A4 and/or P-gp,1
Glasmacinal,Digoxin,glasmacinal may be a victim of selected drugs that impact CYP3A4 and/or P-gp,1
